Rank,AQI⁺ US,Followers
1,458,1M followers
2,282,3.1M followers
3,220,372.6K followers
4,186,2.9M followers
5,183,47.8K followers
6,183,1.5M followers
7,179,12.9M followers
8,175,2.2M followers
9,173,510.8K followers
10,165,117.9K followers
11,160,59.9K followers
12,158,3M followers
13,157,639.4K followers
14,148,1.7M followers
15,145,1.5M followers
16,138,212.1K followers
17,134,338.5K followers
18,132,22.6K followers
19,127,549K followers
20,126,291K followers
21,105,339.4K followers
22,99,1.4M followers
23,99,1.9M followers
24,98,492.1K followers
25,98,1.3M followers
26,97,55.9K followers
27,96,11.7M followers
28,93,689K followers
29,92,226.2K followers
30,82,457.5K followers
31,81,14.2K followers
32,81,98.7K followers
33,81,221.3K followers
34,80,46.9K followers
35,74,2.5M followers
36,73,967.3K followers
37,73,1.1M followers
38,73,1M followers
39,71,13.4M followers
40,70,335.3K followers
41,69,1.4M followers
42,68,19K followers
43,68,250.8K followers
44,66,154.1K followers
45,66,137.4K followers
46,66,317.9K followers
47,66,136.2K followers
48,66,9.7M followers
49,64,160.2K followers
50,64,86.9K followers
51,62,109.8K followers
52,62,1.1M followers
53,62,720.2K followers
54,61,145K followers
55,61,115.5K followers
56,60,44.1K followers
57,60,81.7K followers
58,60,435K followers
59,60,573.2K followers
60,58,10.4M followers
61,58,100.5K followers
62,58,121.2K followers
63,58,147.5K followers
64,58,46K followers
65,58,2M followers
66,58,1.3M followers
67,58,320.3K followers
68,55,26.4K followers
69,55,605.4K followers
70,55,777.4K followers
71,55,77.4K followers
72,55,204.6K followers
73,54,2.3M followers
74,53,148.8K followers
75,53,214.7K followers
76,53,444.6K followers
77,52,245K followers
78,52,152.5K followers
79,52,972.6K followers
80,51,231.6K followers
81,50,72.3K followers
82,50,334.8K followers
83,50,151.1K followers
84,50,167.1K followers
85,48,113.1K followers
86,47,90K followers
87,47,1.1M followers
88,45,815.7K followers
89,44,27.2K followers
90,39,538.1K followers
91,39,141.6K followers
92,39,943.9K followers
93,38,112.9K followers
94,36,539.3K followers
95,35,329.6K followers
96,33,55.1K followers
97,33,754.4K followers
98,33,317.2K followers
99,33,523.1K followers
100,31,151K followers
101,32,63.7K followers
102,32,56.5K followers
103,32,141.7K followers
104,31,151K followers
105,31,408.4K followers
106,30,142.2K followers
107,29,161.1K followers
108,29,11.2M followers
109,28,119.7K followers
110,28,103.5K followers
111,26,1.2M followers
112,23,539.2K followers
113,23,122.5K followers
114,22,559.7K followers
115,22,360.7K followers
116,21,1.8M followers
117,20,200.9K followers
118,19,477.6K followers
119,19,572.2K followers
120,19,550.1K followers
121,18,152.6K followers
122,18,504.3K followers
123,18,90.2K followers
124,17,50.3K followers
125,16,1.7M followers
126,14,385.3K followers
127,10,63K followers
