Rank,"Major city, country/region.1",AQI⁺ US,Followers
1,"Delhi, India",169,2.8M followers
2,"Medan, Indonesia",155,1.4M followers
3,"Jakarta, Indonesia",150,1.8M followers
4,"Baghdad, Iraq",144,88.5K followers
5,"Kinshasa, Democratic Republic of the Congo",124,9.8K followers
6,"Santiago, Chile",122,117.7K followers
7,"Ljubljana, Slovenia",119,41.6K followers
8,"Zagreb, Croatia",119,43.1K followers
9,"Kathmandu, Nepal",117,203.7K followers
10,"Kuwait City, Kuwait",113,81.2K followers
11,"Addis Ababa, Ethiopia",109,19.9K followers
12,"Batam, Indonesia",107,1.3M followers
13,"Lahore, Pakistan",107,541.5K followers
14,"Milano, Italy",101,211.3K followers
15,"Ho Chi Minh City, Vietnam",99,2.3M followers
16,"Dakar, Senegal",97,18K followers
17,"Chengdu, China",96,2.1M followers
18,"Lyon, France",95,549.7K followers
19,"Toronto, Canada",90,540.6K followers
20,"Tashkent, Uzbekistan",90,259.3K followers
21,"Algiers, Algeria",88,40.6K followers
22,"Johannesburg, South Africa",88,72.3K followers
23,"Bern, Switzerland",84,113.9K followers
24,"Beijing, China",84,9.8M followers
25,"Cairo, Egypt",83,57.6K followers
26,"Karachi, Pakistan",83,103.1K followers
27,"Los Angeles, USA",83,8.5M followers
28,"Minneapolis, USA",82,32K followers
29,"Rome, Italy",81,130.3K followers
30,"Jerusalem, Israel",80,70K followers
31,"Chicago, USA",80,83.1K followers
32,"Baku, Azerbaijan",79,22.7K followers
33,"Nice, France",78,506.8K followers
34,"Bishkek, Kyrgyzstan",77,94.7K followers
35,"Wuhan, China",76,450K followers
36,"Doha, Qatar",75,138.1K followers
37,"Riyadh, Saudi Arabia",75,125.5K followers
38,"Kolkata, India",75,1.4M followers
39,"Dhaka, Bangladesh",75,280.6K followers
40,"Sarajevo, Bosnia Herzegovina",75,112.3K followers
41,"Sofia, Bulgaria",75,139.7K followers
42,"Kampala, Uganda",73,13.2K followers
43,"Pristina, Kosovo",73,29.4K followers
44,"Detroit, USA",72,32.4K followers
45,"Manama, Bahrain",71,42.7K followers
46,"Belgrade, Serbia",71,461K followers
47,"Chongqing, China",71,248.4K followers
48,"Dubai, United Arab Emirates",71,556K followers
